model_name,task_name,file_path,date,evaluation_time,"acc,none","acc_stderr,none","acc_norm,none","acc_norm_stderr,none",n_samples_original,n_samples_effective,n_shot
google/gemma-3-1b-it,analogies_high,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-30-15.293395.json,1755030086.768084,528.5311492057517,0.41875,0.007121697422814577,0.44479166666666664,0.007173497214760643,4800,4800,5
google/gemma-3-1b-it,analogies_low,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-30-15.293395.json,1755030086.768084,528.5311492057517,0.322,0.01045048354398722,0.3415,0.010606371790639708,2000,2000,5
google/gemma-3-1b-it,analogies_medium,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-30-15.293395.json,1755030086.768084,528.5311492057517,0.3596666666666667,0.00876324426236374,0.39566666666666667,0.008929245712536298,3000,3000,5
google/gemma-3-1b-it,analogies_mono,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-30-15.293395.json,1755030086.768084,528.5311492057517,0.5518181818181818,0.015001209415394814,0.5763636363636364,0.01490548308104339,1100,1100,5
google/gemma-3-1b-it,hypernymy_high,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-37-25.706911.json,1755030621.8046603,423.9145059781149,0.5225,0.007210318686547345,0.5260416666666666,0.007207834054996665,4800,4800,5
google/gemma-3-1b-it,hypernymy_low,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-37-25.706911.json,1755030621.8046603,423.9145059781149,0.396,0.010938547705840861,0.368,0.010786388324483072,2000,2000,5
google/gemma-3-1b-it,hypernymy_medium,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-37-25.706911.json,1755030621.8046603,423.9145059781149,0.4826666666666667,0.009124743220028743,0.48,0.00912292401485728,3000,3000,5
google/gemma-3-1b-it,hypernymy_mono,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-37-25.706911.json,1755030621.8046603,423.9145059781149,0.6734130634774609,0.01423066713554923,0.703771849126035,0.013855244584259276,1087,1087,5
google/gemma-3-1b-it,meronymy_high,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-44-46.218842.json,1755031050.9384046,435.2897586291656,0.4225,0.007130401353586428,0.38895833333333335,0.007037389328799096,4800,4800,5
google/gemma-3-1b-it,meronymy_low,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-44-46.218842.json,1755031050.9384046,435.2897586291656,0.3615,0.010745538995515901,0.319,0.010424674427456263,2000,2000,5
google/gemma-3-1b-it,meronymy_medium,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-44-46.218842.json,1755031050.9384046,435.2897586291656,0.3596666666666667,0.00876324426236374,0.39566666666666667,0.008929245712536298,3000,3000,5
google/gemma-3-1b-it,meronymy_mono,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-44-46.218842.json,1755031050.9384046,435.2897586291656,0.5952161913523459,0.014894777562044857,0.5593376264949402,0.015065206523286391,1087,1087,5
google/gemma-3-1b-it,gloss_high,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-51-53.817763.json,1755031491.3202024,422.50665268022567,0.6191077441077442,0.0070451732013841585,0.6868686868686869,0.006728334796395564,4752,4752,5
google/gemma-3-1b-it,gloss_low,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-51-53.817763.json,1755031491.3202024,422.50665268022567,0.35555555555555557,0.010760280170267941,0.3803030303030303,0.010912686578957933,1980,1980,5
google/gemma-3-1b-it,gloss_medium,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-51-53.817763.json,1755031491.3202024,422.50665268022567,0.49595959595959593,0.009175943388086178,0.5538720538720538,0.009122824960959638,2970,2970,5
google/gemma-3-1b-it,gloss_mono,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T22-51-53.817763.json,1755031491.3202024,422.50665268022567,0.9207650273224044,0.008155104870219785,0.9571948998178507,0.006111455207962303,1098,1098,5
google/gemma-3-1b-it,analogies_all,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T23-19-53.045297.json,1755031919.9368966,1673.1212016930804,0.3810689514483884,0.0025328620590687545,0.40350877192982454,0.0025586868794555133,36765,36765,5
google/gemma-3-1b-it,gloss_all,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T23-20-39.535548.json,1755033602.365695,37.179126746952534,0.49333333333333335,0.018267978344208013,0.548,0.018185221189001947,750,750,5
google/gemma-3-1b-it,hypernymy_all,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-12T23-44-38.864313.json,1755033644.7499602,1434.1293721869588,0.4358765129878961,0.0025861722425138613,0.42140622875017,0.0025752890044927084,36765,36765,5
google/gemma-3-1b-it,meronymy_all,D:\Masters In Germany\Computer Science\Semester 4\Practical_NLP\Babelnet_Client\results\gemma-3-1b-it\results_2025-08-13T00-09-09.235660.json,1755035087.2895255,1461.955396716483,0.3526451788385693,0.0024918895570170034,0.2969672242622059,0.0023830363522008412,36765,36765,5
